DATETIME,TOTAL_TX,TOTAL_FEE,AVG_TOTAL_FEE,TOTAL_COMPUTE_UNITS_USED,TOTAL_AVG_COMPUTE_UNITS_USED,TOTAL_AVG_COMPUTE_UNITS_REQUESTED,TOTAL_AVG_COMPUTE_UNITS_PROPORTION,SUCCESSFUL_TX,SUCCESSFUL_FEE,AVG_SUCCESSFUL_FEE,SUCCESSFUL_COMPUTE_UNITS_USED,AVG_SUCCESSFUL_COMPUTE_UNITS_USED,AVG_SUCCESSFUL_COMPUTE_UNITS_REQUESTED,AVG_SUCCESSFUL_COMPUTE_UNITS_PROPORTION,FAILED_TX,FAILED_FEE,AVG_FAILED_FEE,FAILED_COMPUTE_UNITS_USED,AVG_FAILED_COMPUTE_UNITS_USED,AVG_FAILED_COMPUTE_UNITS_REQUESTED,AVG_FAILED_COMPUTE_UNITS_PROPORTION,SUCCESS_RATE,TOTAL_TPS,SUCCESFUL_TPS,FAILED_TPS
2022-01-01 00:00:00,2937664,14.99623,5.104814574e-06,30806698038,10486.80109,199321.65503818888,0.025171500104,2246717,11.515835,5.125627749e-06,28411791452,12645.914662,199209.62274762304,0.030421771857,690947,3.480395,5.037137436e-06,2394906586,3466.121983,199685.9447040579,0.008099460134,0.764797,816.017778,624.088056,191.929722
2022-01-01 01:00:00,2902593,14.83543,5.111095493e-06,31824718460,10964.237308,199279.67703959523,0.025497711153,2212548,11.356395,5.1327225440000005e-06,29233214295,13212.46558,199177.14800681526,0.031060972935,690045,3.479035,5.0417509e-06,2591504165,3755.55821,199608.42430451163,0.007659767643,0.762266,806.275833,614.596667,191.679167
2022-01-01 02:00:00,2431055,12.434815,5.114987115e-06,33036180505,13589.236157,199337.70067267228,0.040997171782,1670131,8.622995,5.163065053e-06,22894971322,13708.488329,199172.51292032472,0.032827825363,760924,3.81182,5.0094621800000005e-06,10141209183,13327.492868,199700.26669242713,0.058927843838,0.686998,675.293056,463.925278,211.367778
2022-01-01 03:00:00,2797510,14.25187,5.094484023e-06,31492962134,11257.497608,199427.51291949424,0.031271106787,2041315,10.464715,5.1264577e-06,25626782174,12554.055682,199297.80968480636,0.030827437119,756195,3.787155,5.008172495e-06,5866179960,7757.49636,199777.64107230786,0.032468773456,0.72969,777.086111,567.031944,210.054167
2022-01-01 04:00:00,3001864,15.27809,5.089534369e-06,30635266983,10205.414697,199383.53386776024,0.024286793036,2253939,11.52571,5.1135855940000005e-06,27923159759,12388.604909,199277.76957637805,0.029965428414,747925,3.75238,5.0170538489999996e-06,2712107224,3626.175384,199702.2640360975,0.007173716533,0.750846,833.851111,626.094167,207.756944
2022-01-01 05:00:00,1865943,9.5777,5.13290063e-06,24072653613,12901.065902,199077.3638758992,0.028817395528,1383806,7.140935,5.160358461e-06,21411056295,15472.585243,198971.16906502692,0.034258579974,482137,2.436765,5.054092509e-06,2661597318,5520.417056,199382.1590201299,0.013200374467,0.741612,518.3175,384.390556,133.926944
2022-01-01 06:00:00,2940462,14.93768,5.080045245e-06,29208481493,9933.296704,199405.17422552046,0.02432023698,2211721,11.279335,5.0998001100000005e-06,27452716856,12412.377898,199284.404540906,0.030306562454,728741,3.658345,5.020089442e-06,1755764637,2409.312276,199771.70890330742,0.006151804351,0.752168,816.795,614.366944,202.428056
2022-01-01 07:00:00,3027247,15.42357,5.094916272000001e-06,31911737043,10541.504226,199366.88304146883,0.024264330479,2257462,11.563815,5.122484897e-06,29701982670,13157.245912,199243.84838008613,0.030468833608,769785,3.859755,5.014068863e-06,2209754373,2870.612409,199727.69297249414,0.006069081101,0.745715,840.901944,627.072778,213.829167
2022-01-01 08:00:00,2933112,14.881365,5.073575438e-06,30497379579,10397.618495,199399.53250532827,0.025505190345,2226282,11.34107,5.094174952e-06,28390746764,12752.538431,199270.97064393232,0.030363944185,706830,3.540295,5.008693745e-06,2106632815,2980.395307,199804.46008043454,0.010201713956,0.759017,814.753333,618.411667,196.341667
2022-01-01 09:00:00,2950405,14.99182,5.081275283e-06,31320052158,10615.50945,199377.00100863766,0.025940925404,2279665,11.629135,5.101247332e-06,28978270619,12711.635534,199256.50611532747,0.030389667946,670740,3.362685,5.0133956529999995e-06,2341781539,3491.34022,199786.5307682434,0.010820845095,0.772662,819.556944,633.240278,186.316667
