season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2021,REG,0,Rondale Moore,WR,ARI,7.98839285714286,5.6636366978063775,1.111875,1.6845394503231303,54,64,84.375,435.0,1,8.371296296296297,6.849621557749521,1.5216747385467757,00-0036936,Rondale,Moore,4,R.Moore
2021,REG,0,Devin Duvernay,WR,,7.90475,3.7302892755766943,6.885106382978724,6.165383164464836,33,47,70.2127659574468,272.0,2,4.54,4.713766513446179,-0.17376651344617855,00-0036331,Devin,Duvernay,13,D.Duvernay
2021,REG,0,Sterling Shepard,WR,NYG,7.694693877551021,2.5988578560451097,7.9913207547169804,10.176822103844241,36,53,67.9245283018868,366.0,1,3.259722222222223,3.5154939850060405,-0.25577176278381764,00-0032385,Sterling,Shepard,3,S.Shepard
2021,REG,0,Marquise Brown,WR,BAL,7.661544117647059,3.534506369795222,11.47808219178082,31.928149280006707,91,146,62.328767123287676,1008.0,6,4.337032967032966,4.553452978384384,-0.21642001135141786,00-0035662,Marquise,Brown,5,M.Brown
2021,REG,0,Deonte Harris,WR,NO,7.182592592592592,3.6323277150192177,10.362203389830507,16.188584819478095,36,59,61.016949152542374,570.0,3,6.886388888888889,5.560030263117707,1.3263586257711815,00-0035215,Deonte,Harris,11,D.Harris
2021,REG,0,Kadarius Toney,WR,NYG,7.138979591836733,3.363215457039522,6.6992982456140355,9.175334770208156,39,57,68.42105263157895,420.0,0,6.103846153846154,4.498181088224805,1.6056650656213494,00-0036913,Kadarius,Toney,89,K.Toney
2021,REG,0,Darnell Mooney,WR,CHI,7.105238095238095,2.884281128388324,11.298714285714285,36.48235063482362,81,140,57.85714285714286,1055.0,4,5.073703703703705,4.090608242236439,0.9830954614672658,00-0036309,Darnell,Mooney,11,D.Mooney
2021,REG,0,Allen Robinson,WR,CHI,7.097878787878789,1.9389784472967622,11.347878787878788,17.27366029728888,38,66,57.57575757575758,410.0,1,2.629210526315789,2.9764387077978762,-0.347228181482087,00-0031428,Allen,Robinson,12,A.Robinson
2021,REG,0,Zay Jones,WR,LV,7.063970588235294,3.3394613197323717,13.853,19.939669601621965,47,70,67.14285714285714,546.0,1,3.892553191489362,2.6915249121027083,1.2010282793866538,00-0033891,Isaiah,Jones,7,Z.Jones
2021,REG,0,Robby Anderson,WR,CAR,7.046633663366337,2.7627880308852086,10.908272727272728,27.994270076313438,53,110,48.18181818181818,519.0,5,2.934716981132076,3.4601758191967997,-0.5254588380647238,00-0032688,Robby,Anderson,11,R.Anderson
2021,REG,0,Jalen Guyton,WR,LAC,7.003555555555555,3.4221027409155713,11.016458333333333,10.497217827344496,31,48,64.58333333333334,448.0,3,4.840967741935483,3.9501030321749813,0.8908647097605016,00-0035414,Jalen,Guyton,15,J.Guyton
2021,REG,0,Tyler Lockett,WR,SEA,6.986736842105263,3.2235467568740153,14.877663551401863,35.576746867862454,73,107,68.22429906542055,1175.0,8,4.151780821917809,3.931010335965338,0.22077048595247106,00-0032211,Tyler,Lockett,16,T.Lockett
2021,REG,0,Rashod Bateman,WR,BAL,6.907272727272728,2.6505802524811664,9.18044117647059,11.893892917430358,46,68,67.64705882352942,515.0,1,3.8791304347826085,3.2775293122486495,0.601601122533959,00-0036550,Rashod,Bateman,12,R.Bateman
2021,REG,0,Cameron Brate,TE,TB,6.846666666666668,2.6292689933616393,7.66438596491228,7.648203975448436,30,57,52.63157894736842,245.0,4,2.9133333333333327,3.6475665579707632,-0.7342332246374306,00-0031273,Cameron,Brate,84,C.Brate
2021,REG,0,Mecole Hardman,WR,KC,6.82927536231884,4.122586127723885,7.163132530120482,12.764148573710415,59,83,71.08433734939759,693.0,2,8.750677966101694,6.538327247328823,2.2123507187728713,00-0035140,Mecole,Hardman,17,M.Hardman
2021,REG,0,Kalif Raymond,WR,DET,6.809130434782609,3.703546754644782,10.012957746478873,19.097969369964733,48,71,67.6056338028169,576.0,4,6.010625,5.449962797260486,0.5606622027395138,00-0032464,Kalif,Raymond,11,K.Raymond
2021,REG,0,Amari Cooper,WR,DAL,6.786153846153846,2.539409381136845,11.235480769230767,22.74650039614484,68,104,65.38461538461539,865.0,8,3.7130882352941175,3.418487869983064,0.2946003653110534,00-0031544,Amari,Cooper,19,A.Cooper
2021,REG,0,Cole Beasley,WR,BUF,6.769278350515464,3.948831677175003,5.322678571428571,11.153811612207937,82,112,73.21428571428571,693.0,1,3.9499999999999997,4.422635126798362,-0.47263512679836195,00-0029000,Cole,Beasley,11,C.Beasley
2021,REG,0,Darius Slayton,WR,NYG,6.7622413793103435,2.9638134241510836,13.46758620689655,18.76875686299951,26,58,44.827586206896555,339.0,2,2.6230769230769218,3.0342280013974334,-0.4111510783205117,00-0035535,Darius,Slayton,86,D.Slayton
2021,REG,0,Corey Davis,WR,NYJ,6.759473684210525,2.6700590654322283,13.097118644067796,18.06663845447043,34,59,57.6271186440678,492.0,4,3.6023529411764685,2.6478314087495014,0.9545215324269671,00-0033871,Corey,Davis,84,C.Davis
2021,REG,0,Gerald Everett,TE,SEA,6.740000000000001,4.1374251387726915,5.456349206349207,7.682285264762283,48,63,76.19047619047619,478.0,4,5.307291666666666,4.495883614672639,0.811408051994027,00-0033895,Gerald,Everett,81,G.Everett
2021,REG,0,Adam Humphries,WR,WAS,6.7222641509433965,3.2064886385923006,7.122258064516129,10.587721906259887,41,62,66.12903225806451,383.0,0,3.889024390243902,4.3112525547659395,-0.4222281645220374,00-0032009,Adam,Humphries,13,A.Humphries
2021,REG,0,Deebo Samuel,WR,,6.697747747747748,3.3189128715469756,8.650247933884298,26.610666334461303,77,121,63.63636363636363,1397.0,6,10.3712987012987,5.173695647665024,5.197603053633676,00-0035719,Tyshun,Samuel,19,D.Samuel
2021,REG,0,Jalen Reagor,WR,PHI,6.696315789473685,2.879938031663494,10.051929824561403,14.137979534277742,33,57,57.89473684210527,299.0,2,4.44030303030303,4.800664789646897,-0.36036175934386616,00-0036387,Jalen,Reagor,18,J.Reagor
2021,REG,0,Laviska Shenault,WR,JAX,6.692584269662921,3.6497285255828626,5.6841,12.109881822074788,63,100,63.0,619.0,0,6.566507936507937,4.834031743838071,1.732476192669866,00-0036268,Laviska,Shenault,10,L.Shenault
2021,REG,0,Amon-Ra St. Brown,WR,DET,6.662577319587629,3.4898017203665623,7.206974789915965,23.039148526926866,90,119,75.63025210084034,912.0,5,4.825444444444445,4.113220318969741,0.7122241254747035,00-0036963,Amon-Ra,St. Brown,14,A.St. Brown
2021,REG,0,Braxton Berrios,WR,NYJ,6.6355172413793095,4.092235706711843,4.74123076923077,7.2053325726951165,46,65,70.76923076923077,409.0,2,5.5784782608695656,5.10654811466451,0.4719301462050556,00-0034419,Braxton,Berrios,10,B.Berrios
2021,REG,0,Tre'Quan Smith,WR,NO,6.609999999999999,2.3563575203913345,9.9306,13.147714183580254,32,50,64.0,377.0,3,3.6821875000000004,2.79368571215423,0.8885017878457706,00-0034765,Tre'Quan,Smith,10,T.Smith
2021,REG,0,Hunter Renfrow,WR,LV,6.583805309734514,3.393140888393014,6.5453125000000005,17.227269175566803,103,128,80.46875,1038.0,9,4.641359223300971,4.61424164295349,0.027117580347480796,00-0034983,Hunter,Renfrow,13,H.Renfrow
2021,REG,0,Jaylen Waddle,WR,MIA,6.519593495934958,3.33687711861522,6.7907857142857155,21.991802027286486,104,140,74.28571428571429,1015.0,6,4.574903846153846,4.226141511669331,0.34876233448451455,00-0036613,Jaylen,Waddle,17,J.Waddle
2021,REG,0,Cooper Kupp,WR,,6.514556962025318,3.6167787409236296,8.382879581151833,31.318742579273422,145,191,75.91623036649214,1947.0,16,6.156896551724138,4.849522865998464,1.3073736857256737,00-0033908,Cooper,Kupp,10,C.Kupp
2021,REG,0,Ricky Seals-Jones,TE,WAS,6.510606060606061,3.5148706295025933,6.359795918367346,7.4719230437242805,30,49,61.224489795918366,271.0,2,4.895333333333335,4.682410524394524,0.21292280893881088,00-0033611,Roderick,Seals-Jones,83,R.Seals-Jones
2021,REG,0,Mike Gesicki,TE,MIA,6.506262626262627,2.776492981636885,8.693749999999998,22.523606182714857,73,112,65.17857142857143,780.0,2,3.455068493150685,3.8549407619812457,-0.3998722688305607,00-0034829,Michael,Gesicki,88,M.Gesicki
2021,REG,0,Olamide Zaccheaus,WR,ATL,6.503999999999999,2.4506380729264485,9.657169811320756,12.628953101906568,31,53,58.490566037735846,406.0,3,3.087741935483871,2.638406939635045,0.44933499584882597,00-0035208,Olamide,Zaccheaus,17,O.Zaccheaus
2021,REG,0,Kendrick Bourne,WR,NE,6.433970588235293,3.298332501040529,8.48157142857143,13.993518354840612,55,70,78.57142857142857,800.0,5,7.117636363636364,4.389565521513186,2.728070842123178,00-0033307,Kendrick,Bourne,84,K.Bourne
2021,REG,0,Jerry Jeudy,WR,DEN,6.382093023255815,3.581559671580144,10.393749999999999,13.279777685501642,38,56,67.85714285714286,467.0,0,5.089473684210526,4.0478168767373806,1.0416568074731458,00-0036407,Jerry,Jeudy,10,J.Jeudy
2021,REG,0,Jamison Crowder,WR,NYJ,6.373174603174603,3.445735907780116,5.987746478873239,9.93965551505573,51,71,71.83098591549296,447.0,2,3.429803921568628,3.308516241607248,0.12128767996137979,00-0031941,Jamison,Crowder,82,J.Crowder
2021,REG,0,Brandin Cooks,WR,HOU,6.35568,3.2531392469323275,10.617313432835822,36.72407384462892,90,134,67.16417910447761,1028.0,6,3.8865555555555553,3.605908539149383,0.2806470164061725,00-0031236,Brandin,Cooks,13,B.Cooks
2021,REG,0,Mark Andrews,TE,,6.35096,3.0519077546264612,10.467254901960786,30.51235934505189,107,153,69.93464052287581,1361.0,9,4.493364485981308,3.8542639356578747,0.6391005503234335,00-0034753,Mark,Andrews,89,M.Andrews
2021,REG,0,Chris Godwin,WR,TB,6.347079646017698,3.3230384932835815,7.274015748031496,16.172799305329427,98,127,77.16535433070865,1103.0,5,6.263877551020408,5.361638873924158,0.9022386770962498,00-0033921,Rod,Godwin,14,C.Godwin
2021,REG,0,Tyler Boyd,WR,CIN,6.344605263157894,3.165169927668507,8.028936170212768,17.309178644245833,67,94,71.27659574468085,828.0,5,5.8734328358208945,5.157607713151521,0.7158251226693739,00-0033009,Tyler,Boyd,83,T.Boyd
2021,REG,0,Michael Pittman,WR,IND,6.340238095238096,2.7578446447729896,9.700387596899224,31.239390066106115,88,129,68.21705426356588,1082.0,6,4.100681818181818,3.8287034450284825,0.2719783731533356,00-0036252,Michael,Pittman,11,M.Pittman
2021,REG,0,Antonio Brown,WR,TB,6.337118644067798,3.4108880178849326,11.16225806451613,12.11576909206136,42,62,67.74193548387096,545.0,4,4.892380952380951,4.281868838925332,0.6105121134556191,00-0027793,Antonio,Brown,81,A.Brown
2021,REG,0,C.J. Uzomah,TE,CIN,6.3145999999999995,3.6573598852013562,4.5777777777777775,6.614329978005745,49,63,77.77777777777779,493.0,5,6.21265306122449,4.394511315330988,1.8181417458935023,00-0032134,Christopher,Uzomah,87,C.Uzomah
2021,REG,0,CeeDee Lamb,WR,DAL,6.310090909090909,3.0672593209596983,10.621333333333332,24.81132020377613,79,120,65.83333333333333,1102.0,6,5.651772151898735,3.6198266711644056,2.031945480734329,00-0036358,Cedarian,Lamb,88,C.Lamb
2021,REG,0,Cedrick Wilson,WR,DAL,6.2971111111111115,3.485659554177987,9.479672131147542,11.25674273556018,45,61,73.77049180327869,602.0,6,6.209111111111111,4.969084768202239,1.2400263429088714,00-0034418,Cedrick,Wilson,1,C.Wilson
2021,REG,0,Rashard Higgins,WR,CLE,6.292,2.8118753171605375,11.714468085106386,13.456777148555416,24,47,51.06382978723404,275.0,1,1.7587499999999994,2.2445070209273834,-0.48575702092738404,00-0032977,Rashard,Higgins,82,R.Higgins
2021,REG,0,DK Metcalf,WR,SEA,6.288095238095239,2.5621205335993165,12.73248062015504,36.70713228951098,75,129,58.139534883720934,967.0,12,4.588133333333333,2.947574352250816,1.6405589810825174,00-0035640,DeKaylin,Metcalf,14,D.Metcalf
2021,REG,0,Evan Engram,TE,NYG,6.264166666666666,3.345199988828451,5.049452054794521,8.856963676861753,46,73,63.013698630136986,408.0,3,4.405869565217389,4.6403601795578515,-0.23449061434046214,00-0033881,Evan,Engram,88,E.Engram
2021,REG,0,Odell Beckham,WR,LAR,6.261951219512195,2.642523070813953,13.168170731707317,21.121123862318267,44,82,53.65853658536586,537.0,5,3.694545454545455,3.6617188386890005,0.0328266158564543,00-0031235,Odell,Beckham,3,O.Beckham
2021,REG,0,Darren Waller,TE,LV,6.21718309859155,2.852487414936484,10.029569892473118,19.179679307125728,55,93,59.13978494623656,665.0,2,4.9176363636363645,4.4477811090008705,0.46985525463549394,00-0031610,Darren,Waller,83,D.Waller
2021,REG,0,Robert Woods,WR,LAR,6.201515151515153,3.785524677201027,8.501739130434782,11.47452160152728,45,69,65.21739130434783,556.0,4,4.764222222222222,4.7187625349715425,0.045459687250679615,00-0030431,Robert,Woods,2,R.Woods
2021,REG,0,T.J. Hockenson,TE,DET,6.190923076923078,2.81207574444901,7.475119047619048,16.868010390894266,61,84,72.61904761904762,583.0,4,3.5652459016393445,3.5283668403358437,0.036879061303500826,00-0035229,Thomas,Hockenson,88,T.Hockenson
2021,REG,0,Marvin Jones,WR,JAX,6.125966386554622,2.460201246616825,12.780666666666667,32.674800853045625,73,120,60.83333333333333,832.0,4,1.8457534246575336,2.614532535353193,-0.7687791106956594,00-0029293,Marvin,Jones,11,M.Jones
2021,REG,0,Tyreek Hill,WR,,6.119591836734694,3.5862335807836976,10.39943396226415,35.49912084656357,111,159,69.81132075471697,1239.0,9,4.098198198198198,3.763652828798896,0.33454536939930213,00-0033040,Tyreek,Hill,10,T.Hill
2021,REG,0,Jarvis Landry,WR,CLE,6.1187654320987654,2.9915612091376924,8.223793103448275,17.48686902262512,52,87,59.77011494252874,570.0,2,5.259038461538462,4.833968136346782,0.42507032519167964,00-0031382,Jarvis,Landry,80,J.Landry
2021,REG,0,A.J. Brown,WR,TEN,6.111111111111111,2.669645204829817,12.049904761904765,32.10902308112019,63,105,60.0,869.0,5,3.653650793650794,3.486857001288384,0.16679379236240965,00-0035676,Arthur,Brown,11,A.Brown
2021,REG,0,DeVonta Smith,WR,PHI,6.097920792079207,2.3193141917668365,14.825961538461538,38.046897940349844,64,104,61.53846153846154,916.0,5,2.9459374999999994,2.670238347541475,0.2756991524585244,00-0036912,DeVonta,Smith,6,D.Smith
2021,REG,0,Van Jefferson,WR,LAR,6.081379310344826,2.543856325861222,13.629662921348315,23.7275471063323,50,89,56.17977528089888,802.0,6,4.678599999999999,4.631354445990845,0.04724555400915431,00-0036415,Vanchii,Jefferson,12,V.Jefferson
2021,REG,0,Russell Gage,WR,ATL,6.081358024691358,3.108432796884139,9.501382978723406,22.037193763370286,66,94,70.2127659574468,771.0,4,4.13060606060606,3.713366967266299,0.41723909333976117,00-0034411,Russell,Gage,14,R.Gage
2021,REG,0,Zach Pascal,WR,IND,6.066065573770492,3.1996092590838816,9.413478260869566,16.215224381378437,38,69,55.072463768115945,384.0,3,3.258421052631579,3.407687030809698,-0.14926597817811915,00-0033251,Zachary,Pascal,14,Z.Pascal
2021,REG,0,Adam Thielen,WR,MIN,6.061868131868132,3.1327966098816504,9.744947368421055,20.34060298725211,67,95,70.52631578947368,726.0,10,3.77776119402985,3.635868085014312,0.14189310901553798,00-0030035,Adam,Thielen,19,A.Thielen
2021,REG,0,A.J. Green,WR,ARI,6.052087912087912,2.4941325010266464,12.380434782608695,26.963047132069217,54,92,58.69565217391305,848.0,3,4.001296296296297,3.5412955932920602,0.46000070300423657,00-0027942,Adriel,Green,18,A.Green
2021,REG,0,Dallas Goedert,TE,PHI,6.045,3.574250972076271,8.24092105263158,15.454408618600763,56,76,73.68421052631578,830.0,4,7.05767857142857,5.3928667175466165,1.6648118538819539,00-0034351,Dallas,Goedert,88,D.Goedert
2021,REG,0,Tim Patrick,WR,DEN,6.038227848101267,2.760400582895112,11.984117647058824,23.241036920086334,53,85,62.35294117647059,734.0,5,4.145849056603775,3.089151836991394,1.056697219612381,00-0033375,Tim,Patrick,81,T.Patrick
2021,REG,0,Zach Ertz,TE,ARI,6.006595744680851,3.160750175138429,7.661517857142859,20.31318798380797,74,112,66.07142857142857,763.0,5,4.815405405405405,4.734857655474919,0.08054774993048675,00-0030061,Zachary,Ertz,86,Z.Ertz
2021,REG,0,Tee Higgins,WR,CIN,6.000733944954129,2.2689511193761707,12.09681818181818,30.517885524387463,74,110,67.27272727272727,1091.0,6,4.0082432432432435,2.9197578903480426,1.088485352895201,00-0036410,Tamaurice,Higgins,85,T.Higgins
2021,REG,0,Christian Kirk,WR,ARI,5.999787234042554,3.344712100130916,11.432038834951456,27.8744407357432,77,103,74.75728155339806,982.0,5,3.2638961038961036,4.063825695317476,-0.7999295914213724,00-0034775,Christian,Kirk,13,C.Kirk
2021,REG,0,Quez Watkins,WR,PHI,5.997636363636364,3.374881627593209,12.328225806451615,18.860591763866925,43,62,69.35483870967742,647.0,1,6.040000000000001,4.23891298042844,1.8010870195715611,00-0036271,Terrance,Watkins,16,Q.Watkins
2021,REG,0,Jared Cook,TE,LAC,5.990882352941178,2.770401527564224,8.69132530120482,14.320397504282937,48,83,57.831325301204814,564.0,4,5.282291666666667,4.706432333946728,0.5758593327199382,00-0027061,Jared,Cook,87,J.Cook
2021,REG,0,Keenan Allen,WR,,5.984397163120568,3.148911940707521,8.545987261146497,26.635010312798386,106,157,67.51592356687898,1138.0,6,3.4380188679245283,3.8346477041145253,-0.396628836189997,00-0030279,Keenan,Allen,13,K.Allen
2021,REG,0,Kenny Golladay,WR,NYG,5.9796,1.7375851345858915,13.700263157894737,25.01844149540705,37,76,48.68421052631579,521.0,0,3.2489189189189185,3.4471065100376235,-0.198187591118705,00-0033932,Kenneth,Golladay,19,K.Golladay
2021,REG,0,Tyler Higbee,TE,LAR,5.962467532467533,3.1039976555198003,5.32035294117647,8.845799501992229,61,85,71.76470588235294,560.0,5,4.812131147540985,5.70513673283133,-0.8930055852903456,00-0033110,Tyler,Higbee,89,T.Higbee
2021,REG,0,Marquez Valdes-Scantling,WR,GB,5.941698113207548,2.3729497686210683,17.126909090909095,21.64530813049044,26,55,47.27272727272727,430.0,3,6.002307692307694,5.1158226488222445,0.8864850434854494,00-0034272,Marquez,Valdes-Scantling,83,M.Valdes-Scantling
2021,REG,0,Calvin Ridley,WR,ATL,5.9332692307692305,3.0348152815582257,9.903269230769231,12.706429828046078,31,52,59.61538461538461,281.0,2,3.056129032258066,3.479749929034448,-0.42362089677638215,00-0034837,Calvin,Ridley,18,C.Ridley
2021,REG,0,Noah Fant,TE,DEN,5.918676470588236,4.103278828136821,6.029888888888888,12.381758529584893,68,90,75.55555555555556,670.0,4,4.981470588235293,4.603813361585372,0.3776572266499212,00-0035644,Noah,Fant,87,N.Fant
2021,REG,0,Tyler Johnson,WR,TB,5.903076923076924,2.9206832377907492,8.002727272727272,7.7056263414599995,36,55,65.45454545454545,360.0,0,4.076388888888888,3.424564453487294,0.6518244354015943,00-0036427,Tyler,Johnson,18,T.Johnson
2021,REG,0,Kyle Pitts,TE,,5.892021276595745,2.2996721768786657,10.48409090909091,28.455424974647343,68,110,61.81818181818181,1026.0,1,5.231470588235293,3.7600560912809313,1.4714144969543619,00-0036970,Kyle,Pitts,8,K.Pitts
2021,REG,0,Sammy Watkins,WR,BAL,5.891632653061224,3.073420036510358,12.67551020408163,11.833496549595516,27,49,55.10204081632652,394.0,1,4.462962962962961,3.8836209138526194,0.5793420491103416,00-0031325,Samuel,Watkins,14,S.Watkins
2021,REG,0,Josh Reynolds,WR,DET,5.883333333333333,2.690538669932927,13.787551020408165,18.14887346910267,29,49,59.183673469387756,396.0,2,4.127586206896552,3.2249543389832924,0.9026318679132599,00-0033943,Joshua Dedmon-Reynolds,Reynolds,8,J.Reynolds
2021,REG,0,Elijah Moore,WR,NYJ,5.850526315789473,3.4411460129809357,11.91831168831169,21.456310452618716,43,77,55.84415584415584,538.0,5,5.097906976744185,4.662041144345524,0.43586583239866084,00-0036980,Elijah,Moore,8,E.Moore
2021,REG,0,Dan Arnold,TE,JAX,5.7815625,3.3519182114832704,6.619423076923078,7.333337594300529,35,52,67.3076923076923,408.0,0,5.625142857142857,4.773578907781581,0.8515639493612754,00-0034011,Daniel,Arnold,85,D.Arnold
2021,REG,0,George Kittle,TE,,5.757199999999998,3.0905727466217323,7.776276595744681,18.5840932954687,71,94,75.53191489361703,910.0,6,6.669718309859156,4.811127705055264,1.8585906048038918,00-0033288,George,Kittle,85,G.Kittle
2021,REG,0,Marquez Callaway,WR,NO,5.7551807228915655,2.8467411941824436,12.873690476190475,28.634335570825222,46,84,54.761904761904766,698.0,6,3.1086956521739135,2.7144432344469998,0.3942524177269138,00-0036219,Marquez,Callaway,1,M.Callaway
2021,REG,0,Allen Lazard,WR,GB,5.751666666666666,2.6435074301034764,10.923666666666668,15.060582873188435,40,60,66.66666666666666,513.0,8,5.183750000000001,4.601709316467837,0.5820406835321634,00-0034521,Allen,Lazard,13,A.Lazard
2021,REG,0,Donovan Peoples-Jones,WR,CLE,5.722068965517241,2.1144548401272067,14.998448275862064,21.26155147172043,34,58,58.620689655172406,597.0,3,4.8955882352941185,3.601188292487015,1.2943999428071034,00-0036233,Donovan,Peoples-Jones,11,D.Peoples-Jones
2021,REG,0,Hunter Henry,TE,NE,5.719310344827585,2.6811594186680283,9.9116,17.520947498674207,50,75,66.66666666666666,603.0,9,3.3939999999999997,3.6523982333339147,-0.258398233333915,00-0033090,Hunter,Henry,85,H.Henry
2021,REG,0,Emmanuel Sanders,WR,BUF,5.714305555555555,2.9162852556600107,15.00375,20.21191007199629,42,72,58.333333333333336,626.0,4,2.557619047619048,2.6958310009649433,-0.1382119533458952,00-0027685,Emmanuel,Sanders,1,E.Sanders
2021,REG,0,Justin Jefferson,WR,,5.664424242424242,2.980580384155069,12.337904191616769,45.270843312079535,108,167,64.67065868263472,1616.0,10,4.73787037037037,3.9584681428806188,0.7794022274897512,00-0036322,Justin,Jefferson,18,J.Jefferson
2021,REG,0,K.J. Osborn,WR,MIN,5.628552631578947,2.7711231988615084,10.49219512195122,18.903443820940648,50,82,60.97560975609756,655.0,7,3.8980000000000006,3.405543977810765,0.49245602218923556,00-0036345,K.J.,Osborn,17,K.Osborn
2021,REG,0,Laquon Treadwell,WR,JAX,5.627551020408164,2.944829729854695,12.28,13.342792680510545,33,51,64.70588235294117,434.0,1,3.7784848484848483,3.140774435439419,0.6377104130454292,00-0032951,Laquon,Treadwell,18,L.Treadwell
2021,REG,0,Keelan Cole,WR,NYJ,5.6126,2.6570461839111945,13.666274509803921,16.295582764997864,28,51,54.90196078431373,449.0,1,3.201785714285713,2.0025349425243903,1.1992507717613226,00-0033681,Keelan,Cole,88,K.Cole
2021,REG,0,D.J. Moore,WR,CAR,5.597236842105264,2.6551731738466526,10.573067484662579,40.20768640332971,93,163,57.05521472392638,1157.0,4,4.996236559139785,4.55625560324911,0.43998095589067443,00-0034827,Denniston,Moore,2,D.Moore
2021,REG,0,Terry McLaurin,WR,WAS,5.588487394957984,2.451091132300048,13.379076923076925,41.70255210181553,77,130,59.23076923076923,1053.0,5,4.138961038961039,3.265498465366069,0.8734625735949701,00-0035659,Terry,McLaurin,17,T.McLaurin
2021,REG,0,Travis Kelce,TE,,5.531869158878505,3.3050937566821053,7.151641791044776,20.574122617751815,92,134,68.65671641791045,1125.0,9,6.401630434782608,4.819406413933916,1.5822240208486917,00-0030506,Travis,Kelce,87,T.Kelce
2021,REG,0,Brandon Aiyuk,WR,SF,5.5196202531645575,2.9427785694705513,9.88642857142857,21.1135150801742,56,84,66.66666666666666,826.0,5,6.712142857142857,4.166543340744385,2.5455995163984726,00-0036261,Brandon,Aiyuk,11,B.Aiyuk
2021,REG,0,Ray-Ray McCloud,WR,PIT,5.506610169491524,3.062217489687395,6.19621212121212,9.36260133565023,39,66,59.09090909090909,277.0,0,3.0502564102564103,3.376193642801239,-0.32593723254482887,00-0034407,Ray-Ray,McCloud,14,R.McCloud
2021,REG,0,Julio Jones,WR,TEN,5.460212765957447,2.4270742858971475,12.073958333333332,14.707711048230534,31,48,64.58333333333334,434.0,1,3.922258064516128,2.9311966080469434,0.9910614564691844,00-0027944,Quintorris,Jones,2,J.Jones
2021,REG,0,Pat Freiermuth,TE,PIT,5.4525,3.267817047006059,5.823417721518986,10.53249723551996,60,79,75.9493670886076,497.0,7,4.1995000000000005,3.1769820678968728,1.0225179321031277,00-0036894,Pat,Freiermuth,88,P.Freiermuth
2021,REG,0,Dalton Schultz,TE,DAL,5.3765432098765435,3.5115673006959294,6.894038461538461,13.957146277698506,78,104,75.0,808.0,8,4.652435897435898,4.408078681658539,0.24435721577735858,00-0034383,Dalton,Schultz,86,D.Schultz
2021,REG,0,Cole Kmet,TE,CHI,5.368955223880596,3.2846745961093147,7.503225806451613,16.093730179780202,60,93,64.51612903225806,612.0,0,4.6770000000000005,4.104694186555984,0.5723058134440162,00-0036290,Cole,Kmet,85,C.Kmet
2021,REG,0,Jakobi Meyers,WR,NE,5.368695652173913,2.760164136364027,9.599444444444446,28.508160980496143,83,126,65.87301587301587,866.0,2,2.988915662650603,3.3395343059080815,-0.3506186432574787,00-0034960,Jakobi,Meyers,16,J.Meyers
2021,REG,0,Jonnu Smith,TE,NE,5.356857142857143,3.961486073576756,5.274666666666667,5.594484709209828,28,45,62.22222222222222,294.0,1,8.66892857142857,6.655026438233266,2.0139021331953035,00-0033858,Jonnu,Smith,81,J.Smith
2021,REG,0,Byron Pringle,WR,KC,5.333260869565216,4.132800491636929,10.749166666666667,13.84639826187394,42,60,70.0,568.0,5,4.760238095238096,3.9935023927559805,0.7667357024821153,00-0034297,Byron,Pringle,13,B.Pringle
2021,REG,0,Nick Westbrook-Ikhine,WR,TEN,5.328039215686275,2.7304661716061136,10.375263157894736,15.008184344427672,38,57,66.66666666666666,476.0,4,4.197368421052632,4.1768294362566225,0.020538984796009352,00-0036182,Nicholas,Westbrook-Ikhine,15,N.Westbrook-Ikhine
2021,REG,0,Davante Adams,WR,,5.294171779141105,2.9268677093608173,9.082958579881659,35.27249080284659,123,169,72.7810650887574,1553.0,11,5.41439024390244,4.849339047437516,0.5650511964649239,00-0031381,Davante,Adams,17,D.Adams
2021,REG,0,DeAndre Hopkins,WR,ARI,5.2915625,2.829417514372512,12.639062499999998,19.14873470160736,42,64,65.625,572.0,8,3.4569047619047613,2.9441063439138713,0.51279841799089,00-0030564,DeAndre,Hopkins,10,D.Hopkins
2021,REG,0,Nico Collins,WR,HOU,5.2885,2.3681218615804562,11.310833333333333,17.517707429893033,33,60,55.00000000000001,448.0,1,3.731818181818182,3.407342215413615,0.3244759664045671,00-0036554,Nico,Collins,12,N.Collins
2021,REG,0,Michael Gallup,WR,DAL,5.278548387096774,2.3762068327001495,11.889354838709677,14.349592467213421,35,62,56.451612903225815,445.0,2,3.8068571428571416,3.351305251196261,0.4555518916608805,00-0034764,Michael,Gallup,13,M.Gallup
