game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,carries,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,receiving_broken_tackles
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Javonte Williams,WillJa10,7.0,30.0,4.3,13.0,1.9,0.0,
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Russell Wilson,WilsRu00,1.0,0.0,0.0,2.0,2.0,0.0,
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Melvin Gordon,GordMe00,12.0,29.0,2.4,29.0,2.4,1.0,
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Javonte Williams,WillJa10,7.0,30.0,4.3,13.0,1.9,0.0,
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Russell Wilson,WilsRu00,1.0,0.0,0.0,2.0,2.0,0.0,
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Melvin Gordon,GordMe00,12.0,29.0,2.4,29.0,2.4,1.0,
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Javonte Williams,WillJa10,7.0,30.0,4.3,13.0,1.9,0.0,
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Russell Wilson,WilsRu00,1.0,0.0,0.0,2.0,2.0,0.0,
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Melvin Gordon,GordMe00,12.0,29.0,2.4,29.0,2.4,1.0,
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Javonte Williams,WillJa10,7.0,30.0,4.3,13.0,1.9,0.0,
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Russell Wilson,WilsRu00,1.0,0.0,0.0,2.0,2.0,0.0,
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Melvin Gordon,GordMe00,12.0,29.0,2.4,29.0,2.4,1.0,
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Javonte Williams,WillJa10,7.0,30.0,4.3,13.0,1.9,0.0,
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Russell Wilson,WilsRu00,1.0,0.0,0.0,2.0,2.0,0.0,
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Melvin Gordon,GordMe00,12.0,29.0,2.4,29.0,2.4,1.0,
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Javonte Williams,WillJa10,7.0,30.0,4.3,13.0,1.9,0.0,
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Russell Wilson,WilsRu00,1.0,0.0,0.0,2.0,2.0,0.0,
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Melvin Gordon,GordMe00,12.0,29.0,2.4,29.0,2.4,1.0,
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Javonte Williams,WillJa10,7.0,30.0,4.3,13.0,1.9,0.0,
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Russell Wilson,WilsRu00,1.0,0.0,0.0,2.0,2.0,0.0,
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Melvin Gordon,GordMe00,12.0,29.0,2.4,29.0,2.4,1.0,
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Javonte Williams,WillJa10,7.0,30.0,4.3,13.0,1.9,0.0,
