season,season_type,week,player_display_name,player_position,team_abbr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,expected_rush_yards,rush_yards_over_expected,avg_rush_yards,rush_yards_over_expected_per_att,rush_pct_over_expected,rush_touchdowns,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2022,REG,0,Najee Harris,RB,PIT,5.358472222222224,24.0,2.95740909090909,25,72,112.72991607316534,-40.72991607316534,2.88,-1.6291966429266136,0.12,0,00-0036893,Najee,Harris,22,N.Harris
2022,REG,0,Alexander Mattison,RB,MIN,3.7497727272727275,10.0,2.7218888888888886,10,44,50.111429502205496,-6.111429502205496,4.4,-0.6111429502205497,0.4,0,00-0034972,Alexander,Mattison,2,A.Mattison
2022,REG,0,Cordarrelle Patterson,RB,ATL,3.414844720496895,12.5,2.725967741935484,32,161,154.98488857802482,6.015111421975178,5.03125,0.1879722319367243,0.5,1,00-0030578,Cordarrelle,Patterson,84,C.Patterson
2022,REG,0,Eno Benjamin,RB,ARI,3.38271186440678,8.333333333333332,2.978333333333334,12,59,43.97032657261875,15.029673427381248,4.916666666666667,1.252472785615104,0.5833333333333334,0,00-0036383,Eno,Benjamin,26,E.Benjamin
2022,REG,0,Dalvin Cook,RB,MIN,4.243738317757009,19.230769230769234,2.927434782608696,26,107,127.10751418851697,-20.107514188516973,4.115384615384615,-0.7733659303275758,0.23076923076923078,0,00-0033893,Dalvin,Cook,4,D.Cook
2022,REG,0,Rashaad Penny,RB,SEA,3.7790666666666666,11.11111111111111,2.994117647058823,18,75,72.97844187803189,-1.9784418780318873,4.166666666666667,-0.11637893400187573,0.35294117647058826,0,00-0034750,Rashaad,Penny,20,R.Penny
2022,REG,0,Nick Chubb,RB,CLE,3.6994736842105262,23.076923076923077,3.273999999999999,39,228,164.45462149490038,63.54537850509962,5.846153846153846,1.629368679617939,0.5128205128205128,3,00-0034791,Nicholas,Chubb,24,N.Chubb
2022,REG,0,Dameon Pierce,RB,HOU,4.000392156862745,11.538461538461538,2.935260869565218,26,102,109.36654775793112,-7.366547757931116,3.923076923076923,-0.28332875992042755,0.34615384615384615,0,00-0037258,Dameon,Pierce,31,D.Pierce
2022,REG,0,Kareem Hunt,RB,CLE,3.8088461538461544,45.83333333333333,2.990863636363636,24,104,77.50736752705475,26.492632472945246,4.333333333333333,1.1038596863727186,0.4583333333333333,1,00-0033923,Kareem,Hunt,27,K.Hunt
2022,REG,0,Damien Harris,RB,NE,3.164705882352941,16.666666666666664,2.5092608695652174,24,119,101.62860083262541,17.37139916737459,4.958333333333333,0.7238082986406079,0.5833333333333334,1,00-0035657,Damien,Harris,37,D.Harris
2022,REG,0,James Cook,RB,BUF,4.122727272727272,0.0,2.98275,12,55,69.04532827462592,-14.045328274625916,4.583333333333333,-1.170444022885493,0.16666666666666666,0,00-0037248,James,Cook,28,J.Cook
2022,REG,0,Leonard Fournette,RB,TB,3.9059895833333336,20.0,3.0928292682926832,45,192,174.9207336360161,17.07926636398389,4.266666666666667,0.3795392525329753,0.4444444444444444,0,00-0033856,Leonard,Fournette,7,L.Fournette
2022,REG,0,Sony Michel,RB,LAC,6.4308,18.181818181818183,2.493666666666667,11,25,48.50864212912755,-23.50864212912755,2.272727272727273,-2.137149284466141,0.18181818181818182,0,00-0034845,Sony,Michel,20,S.Michel
2022,REG,0,Miles Sanders,RB,PHI,2.949772727272727,13.333333333333334,2.8307777777777776,30,176,124.32079004458126,24.67920995541874,5.866666666666666,0.8814003555506693,0.4642857142857143,1,00-0035243,Miles,Sanders,26,M.Sanders
2022,REG,0,Austin Ekeler,RB,LAC,5.690799999999999,14.285714285714285,2.7837083333333337,28,75,97.4900451966009,-18.490045196600903,2.6785714285714284,-0.6848164887629964,0.2962962962962963,0,00-0033699,Austin,Ekeler,30,A.Ekeler
2022,REG,0,Javonte Williams,RB,DEN,3.8921186440677964,9.090909090909092,3.1787499999999995,22,118,108.70818164056467,9.291818359435325,5.363636363636363,0.422355379974333,0.45454545454545453,0,00-0036997,Javonte,Williams,33,J.Williams
2022,REG,0,Derrick Henry,RB,TEN,5.478785046728971,29.411764705882355,2.9746206896551723,34,107,151.09983462872228,-46.09983462872228,3.1470588235294117,-1.396964685718857,0.3939393939393939,1,00-0032764,Derrick,Henry,22,D.Henry
2022,REG,0,Isiah Pacheco,RB,KC,3.360294117647059,64.28571428571429,2.662166666666667,14,68,44.808971201321285,23.191028798678715,4.857142857142857,1.6565020570484796,0.42857142857142855,1,00-0037197,Isiah,Pacheco,10,I.Pacheco
2022,REG,0,Khalil Herbert,RB,CHI,2.390602409638554,23.076923076923077,2.569846153846154,13,83,65.59676246740928,12.403237532590722,6.384615384615385,1.0336031277158935,0.5,1,00-0036906,Khalil,Herbert,24,K.Herbert
2022,REG,0,Tyrion Davis-Price,RB,SF,5.813030303030302,42.857142857142854,2.6421,14,33,28.412406968788076,4.587593031211924,2.357142857142857,0.32768521651513743,0.42857142857142855,0,00-0037827,Tyrion,Davis-Price,32,T.Davis-Price
2022,REG,0,D'Andre Swift,RB,DET,2.3212,5.0,2.6137,20,200,115.15619356892877,84.84380643107123,10.0,4.2421903215535615,0.35,1,00-0036275,D'Andre,Swift,32,D.Swift
2022,REG,0,Rhamondre Stevenson,RB,NE,4.351250000000001,5.88235294117647,2.8922499999999998,17,72,89.01021122574204,-21.01021122574204,4.235294117647059,-1.3131382016088775,0.25,0,00-0036875,Rhamondre,Stevenson,38,R.Stevenson
