player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0031260,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,6,11,82.0,1,0.0,0.0,139.0,31.0,3.0,1.4674121038988233,0,1.179089026915114,0.25997782705099776,0.4096719932716569,0.6767371358666564,0.0,14.2,20.2,2,0.12643678160919541,0.1971631205673759,0.0981012658227848,0.34738566886769384,0.12615384615384614,0.14285714285714285,0.0967741935483871,0.10526315789473684,0.13450549450549448,0.1294945054945055,0.9425287356321839,0.08371322005801905
00-0031273,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,5,16.0,0,0.0,0.0,40.0,2.0,1.0,0.19922920714001502,0,0.8266666666666667,0.1717171717171717,0.12982548915917502,0.34845359998718006,0.0,1.6,3.6,2,0.08196721311475409,0.06420545746388442,0.011904761904761904,0.1743151856432387,0.03980099502487562,0.0,0.058823529411764705,0.05263157894736842,0.01990049751243781,0.031840796019900496,0.26229508196721313,0.027548209366391185
00-0031280,2022,REG,47,76,547.0,4,3.0,6.0,37.0,2,0,574.0,272.0,31.0,0.013446672680328398,0,1.9466477036738703,0.09011846044759875,1,9.0,0,0.0,0.0,0.0,-0.11170208652038127,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,32.78,32.78,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19284621720202375
00-0031325,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,6,7,111.0,0,0.0,0.0,72.0,46.0,5.0,7.538486799865495,0,10.32857142857143,0.24571428571428572,0.5131209318259677,0.727756080849606,0.0,11.100000000000001,17.1,2,0.109375,0.2011173184357542,0.15333333333333332,0.3249563547486034,0.22469635627530365,0.0,0.21739130434782608,0.2,0.11234817813765183,0.17975708502024293,1.734375,0.09967358358591746
00-0031345,2022,REG,13,21,154.0,1,0.0,1.0,0.0,0,0,174.0,87.0,7.0,2.2144243547698266,0,0.8850574712643678,0.19975965852979383,4,5.0,1,0.0,0.0,2.0,1.6269552927811013,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.66,16.66,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20401665442076902
00-0031376,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,8,34.0,0,0.0,0.0,1.0,-0.965415048354771,0,5,6,31.0,1,0.0,0.0,-2.0,44.0,2.0,1.8832255808229093,0,-5.0,0.16138763197586725,-0.005753194715183018,0.23805421166317278,0.0,12.5,17.5,2,0.08108108108108109,-0.003616636528028933,0.14915254237288136,0.11872831239919848,0.052100840336134456,0.14285714285714285,0.06060606060606061,0.075,0.09747899159663866,0.07025210084033613,0.4189189189189189,0.07497857754927165
00-0031381,2022,REG,0,0,0.0,0,0.0,1.0,10.0,0,0,0.0,0.0,0.0,-1.8045640784548596,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,12,24,153.0,2,0.0,0.0,258.0,70.0,10.0,2.850131276295632,0,0.9447583176396736,0.6652014652014652,0.8807720150990226,1.6143426083715136,0.0,27.3,39.3,2,0.3157894736842105,0.44947735191637633,0.25735294117647056,0.8332660920594168,0.2797074954296161,0.5,0.3225806451612903,0.34285714285714286,0.3898537477148081,0.32376599634369285,2.013157894736842,0.23120367102011996
00-0031382,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,11,14,139.0,0,0.0,0.0,143.0,30.0,4.0,-5.302978687396446,0,2.176829268292683,0.40625,0.45055886121718836,0.9247662028520318,0.0,13.9,24.9,2,0.1891891891891892,0.17312348668280872,0.23255813953488372,0.42228257313003076,0.27524752475247527,0.0,0.19047619047619047,0.16666666666666666,0.13762376237623763,0.22019801980198023,1.8783783783783783,0.1447674418604651
00-0031384,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,1.0,0.0,0.0,-0.22918983356794342,0,0.0,0.029411764705882353,0.00425531914893617,0.047096370463078845,0.0,0.0,0.0,1,0.029411764705882353,0.00425531914893617,0.0,0.047521902377972464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031408,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,8,11,132.0,1,0.0,0.0,151.0,39.0,8.0,8.922645429731347,0,1.7888888888888888,0.38047138047138046,0.49185616076150185,0.915006383240122,0.0,19.200000000000003,27.200000000000003,2,0.18032786885245902,0.24237560192616373,0.23214285714285715,0.4643922848196195,0.3283582089552239,0.5,0.47058823529411764,0.47368421052631576,0.41417910447761197,0.36268656716417913,2.1639344262295084,0.20814202632384451
