game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,rushing_broken_tackles,receiving_broken_tackles,passing_drops,passing_drop_pct,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Gabriel Davis,DaviGa01,,0.0,,,0.0,0.0,0.0,158.3
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Jamison Crowder,CrowJa00,,0.0,,,0.0,0.0,1.0,54.2
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Isaiah McKenzie,McKeIs00,,0.0,,,1.0,0.333,1.0,84.0
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Devin Singletary,SingDe00,,0.0,,,0.0,0.0,0.0,95.8
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Dawson Knox,KnoxDa00,,0.0,,,0.0,0.0,0.0,56.2
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Drake London,LondDr00,,0.0,,,0.0,0.0,0.0,105.7
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Olamide Zaccheaus,ZaccOl01,,0.0,,,0.0,0.0,0.0,117.7
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,KhaDarel Hodge,HodgKh00,,0.0,,,0.0,0.0,0.0,118.7
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Cordarrelle Patterson,PattCo00,,0.0,,,0.0,0.0,0.0,65.4
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Kyle Pitts,PittKy00,,0.0,,,1.0,0.143,0.0,39.6
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Parker Hesse,HessPa00,,0.0,,,0.0,0.0,0.0,56.2
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Anthony Firkser,FirkAn00,,0.0,,,0.0,0.0,0.0,56.2
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Avery Williams,WillAv02,,0.0,,,0.0,0.0,0.0,100.0
