Play_Type,Moment_Tier,mean,count,Position
2-Pt Attempt,COMMON,25.813941568426447,1951,N/A
2-Pt Attempt,RARE,81.81756756756756,592,N/A
Block,RARE,72.20454545454545,220,N/A
Blocked Kick,COMMON,36.30258620689655,2320,N/A
Blocked Kick,LEGENDARY,930.0,4,N/A
Field Goal,COMMON,12.809066843150232,3022,N/A
Field Goal,RARE,196.75438596491227,171,N/A
Forced Fumble,COMMON,17.401816347124118,4955,N/A
Forced Fumble,RARE,51.96153846153846,104,N/A
Fumble Recovery,COMMON,32.050038491147035,2598,N/A
Fumble Recovery,LEGENDARY,1430.0,5,N/A
Fumble Recovery,RARE,61.88235294117647,238,N/A
Interception,COMMON,12.301367323290846,21575,N/A
Interception,LEGENDARY,1023.9833333333333,60,N/A
Interception,RARE,77.9533527696793,4116,N/A
Kick Return,COMMON,18.349137931034484,1624,N/A
Kick Return,RARE,52.888429752066116,242,N/A
Pass,COMMON,37.97249074207666,41586,N/A
Pass,LEGENDARY,4098.882352941177,17,N/A
Pass,RARE,188.38660179640718,2672,N/A
Pass Defense,COMMON,17.717098445595855,965,N/A
Pass Defense,LEGENDARY,921.9090909090909,11,N/A
Pass Defense,RARE,84.14159292035399,113,N/A
Player Melt,COMMON,11.865822190945345,4263,N/A
Player Melt,LEGENDARY,1506.2920792079208,202,N/A
Player Melt,RARE,85.8078335373317,3268,N/A
Pressure,LEGENDARY,1599.0,1,N/A
Punt,COMMON,7.638578680203046,985,N/A
Punt,LEGENDARY,1424.8,5,N/A
Punt Return,COMMON,9.328614762386248,989,N/A
Punt Return,RARE,81.3037037037037,135,N/A
Reception,COMMON,25.845039904176144,148606,N/A
Reception,LEGENDARY,1760.3076923076924,52,N/A
Reception,RARE,133.7580103753433,6554,N/A
Rush,COMMON,28.204103235511234,71797,N/A
Rush,LEGENDARY,1146.5813953488373,43,N/A
Rush,RARE,151.08069692801467,2181,N/A
Sack,COMMON,12.98090517903796,26028,N/A
Sack,LEGENDARY,2814.2,5,N/A
Sack,RARE,86.50253292806484,987,N/A
Safety,COMMON,11.604166666666666,432,N/A
Safety,RARE,109.76190476190476,21,N/A
Strip Sack,COMMON,12.61171049674084,8898,N/A
Strip Sack,LEGENDARY,893.15,20,N/A
Strip Sack,RARE,72.60774818401937,413,N/A
Tackle,COMMON,12.641902393534348,3217,N/A
Tackle,RARE,161.7111111111111,45,N/A
Team Melt,COMMON,23.12047012732615,8168,N/A
Team Melt,LEGENDARY,1430.65,20,N/A
Team Melt,RARE,143.12839366515837,1768,N/A
