Play_Type,Moment_Tier,mean,count,Position
2-Pt Attempt,COMMON,20.9194847020934,621,N/A
2-Pt Attempt,RARE,75.20656370656371,518,N/A
Block,RARE,67.05555555555556,180,N/A
Blocked Kick,COMMON,40.36538461538461,1872,N/A
Blocked Kick,LEGENDARY,930.0,4,N/A
Field Goal,COMMON,12.953919808497906,1671,N/A
Field Goal,RARE,191.42068965517242,145,N/A
Forced Fumble,COMMON,18.368061036569323,3801,N/A
Forced Fumble,RARE,52.07142857142857,98,N/A
Fumble Recovery,COMMON,35.383325781603986,2207,N/A
Fumble Recovery,LEGENDARY,1430.0,5,N/A
Fumble Recovery,RARE,61.9468085106383,188,N/A
Interception,COMMON,12.828608582574772,15380,N/A
Interception,LEGENDARY,1015.3272727272728,55,N/A
Interception,RARE,80.00355134655223,3379,N/A
Kick Return,COMMON,12.1125,560,N/A
Kick Return,RARE,53.22959183673469,196,N/A
Pass,COMMON,35.30174563591022,27669,N/A
Pass,LEGENDARY,3946.230769230769,13,N/A
Pass,RARE,172.21449559255632,2042,N/A
Pass Defense,COMMON,18.616528925619836,605,N/A
Pass Defense,LEGENDARY,869.0,9,N/A
Pass Defense,RARE,80.87628865979381,97,N/A
Player Melt,COMMON,12.916993231207694,2807,N/A
Player Melt,LEGENDARY,1587.4791666666667,144,N/A
Player Melt,RARE,77.08248730964468,2364,N/A
Pressure,LEGENDARY,1599.0,1,N/A
Punt,COMMON,7.943986820428336,607,N/A
Punt,LEGENDARY,1424.8,5,N/A
Punt Return,COMMON,10.469354838709677,620,N/A
Punt Return,RARE,71.25714285714285,70,N/A
Reception,COMMON,24.370561687782068,91955,N/A
Reception,LEGENDARY,1783.96875,32,N/A
Reception,RARE,131.89076602638278,4321,N/A
Rush,COMMON,27.575048643699212,43685,N/A
Rush,LEGENDARY,1115.060606060606,33,N/A
Rush,RARE,139.9238683127572,1458,N/A
Sack,COMMON,13.754960139063718,16683,N/A
Sack,LEGENDARY,2132.3333333333335,3,N/A
Sack,RARE,77.67874396135265,828,N/A
Safety,COMMON,11.175824175824175,273,N/A
Safety,RARE,101.64285714285714,14,N/A
Strip Sack,COMMON,13.122142286171064,6255,N/A
Strip Sack,LEGENDARY,903.3684210526316,19,N/A
Strip Sack,RARE,67.97478991596638,357,N/A
Tackle,COMMON,13.215302491103202,2248,N/A
Tackle,RARE,158.23076923076923,39,N/A
Team Melt,COMMON,23.03932767624021,6128,N/A
Team Melt,LEGENDARY,1430.65,20,N/A
Team Melt,RARE,139.84065244667502,1594,N/A
