Player,Position,mean,count
Trey Lance,QB,2900.0,1
New Orleans Saints,Team,1951.5,6
Pressley Harvin III,P,1290.764705882353,17
George Pickens,WR,1099.5,8
Breshad Perriman,WR,936.0,4
Jordan Willis,DL,902.0,4
Travon Walker,LB,860.1,10
Aidan Hutchinson,DL,860.0625,32
New York Jets,Team,844.3333333333334,12
Zach Allen,DL,820.0,9
Michael Davis,DB,805.0,1
Dameon Pierce,RB,795.0,1
Sam Mills,LB,383.2857142857143,56
Green Bay Packers,Team,378.3181818181818,22
Tom Brady,QB,313.42857142857144,525
Jacksonville Jaguars,Team,260.1507936507937,126
Cameron Heyward,DL,203.31034482758622,522
Dalvin Cook,RB,201.34821428571428,112
Ezekiel Elliott,RB,193.39285714285714,84
Justin Tucker,K,185.86231884057972,138
Dallas Goedert,TE,184.96153846153845,52
Seattle Seahawks,Team,171.6,30
Tennessee Titans,Team,163.43188405797102,345
Micah Hyde,DB,162.375,56
Cliff Branch,WR,161.8095238095238,21
Minkah Fitzpatrick,DB,152.05678233438485,317
Jared Goff,QB,140.44,450
New England Patriots,Team,135.27456647398844,346
Patrick Mahomes II,QB,132.63651050080776,1238
Kirk Cousins,QB,131.0,180
Khalil Mack,LB,130.94,50
Jaelan Phillips,LB,127.52941176470588,17
Justin Herbert,QB,124.5,580
Tony Boselli,OL,124.47368421052632,19
Chicago Bears,Team,124.43561643835616,365
Bryant Young,DL,124.42603550295858,169
Richard Seymour,DL,123.44578313253012,83
Rashaad Penny,RB,112.275,1160
Trevon Diggs,DB,105.45238095238095,210
Rashod Bateman,WR,101.89259259259259,270
