Play_Type,mean,count,Position
2-Pt Attempt,15.337468982630273,403,N/A
Block,54.714285714285715,14,N/A
Blocked Kick,17.15,260,N/A
Field Goal,15.852813852813853,462,N/A
Forced Fumble,10.011887072808321,673,N/A
Fumble Recovery,15.79427549194991,559,N/A
Interception,16.66941729084677,7877,N/A
Kick Return,48.640845070422536,284,N/A
Pass,35.00124784027644,10418,N/A
Pass Defense,15.18013856812933,433,N/A
Player Melt,34.861636707663195,4228,N/A
Pressure,1099.0,1,N/A
Punt,13.37984496124031,129,N/A
Punt Return,13.34640522875817,153,N/A
Reception,27.570561960523932,33134,N/A
Rush,19.238779297546223,14549,N/A
Sack,26.075323892738776,3319,N/A
Safety,16.05389221556886,167,N/A
Strip Sack,24.751519756838906,1316,N/A
Tackle,9.276231263383298,467,N/A
Team Melt,31.664615384615384,975,N/A
