Play_Type,mean,count,Position
2-Pt Attempt,28.08594757198109,2327,N/A
Block,67.24454148471615,229,N/A
Blocked Kick,43.868110236220474,3556,N/A
Field Goal,21.42804843705998,3551,N/A
Forced Fumble,18.70602605863192,4912,N/A
Fumble Recovery,35.836363636363636,5225,N/A
Interception,24.18695329873981,33725,N/A
Kick Return,34.02661934338953,1127,N/A
Pass,44.66274684724869,49322,N/A
Pass Defense,27.84465317919075,1384,N/A
Player Melt,64.94891640866874,13566,N/A
Pressure,1424.25,4,N/A
Punt,32.630979498861045,878,N/A
Punt Return,16.91201982651797,807,N/A
Reception,28.788179669030733,158625,N/A
Rush,29.054164802978054,69307,N/A
Sack,18.105162603314366,24077,N/A
Safety,13.163139329805997,1134,N/A
Strip Sack,19.346513953276975,11001,N/A
Tackle,15.46338383838384,3960,N/A
Team Melt,58.682942097026604,9585,N/A
