marketplace_id,Player,Team,Position,Season,Week,Moment_Tier,Moment_Date,Total_Circulation,site,Pack Type,Price,Max_Price,Min_Price,Count
1052.0,Najee Harris,Pittsburgh Steelers,RB,2022.0,2,COMMON,2022-09-18 00:00:00.000,6000.0,https://nflallday.com/listing/moment/1052,Standard,11.734920634920634,30.0,7.0,630
1053.0,Sterling Shepard,New York Giants,WR,2022.0,1,COMMON,2022-09-11 00:00:00.000,7000.0,https://nflallday.com/listing/moment/1053,Premium,7.489208633093525,20.0,5.0,139
1053.0,Sterling Shepard,New York Giants,WR,2022.0,1,COMMON,2022-09-11 00:00:00.000,7000.0,https://nflallday.com/listing/moment/1053,Standard,7.480544747081712,28.0,4.0,514
1054.0,Byron Murphy Jr.,Arizona Cardinals,DB,2022.0,2,COMMON,2022-09-18 00:00:00.000,4500.0,https://nflallday.com/listing/moment/1054,Premium,8.972222222222221,18.0,7.0,72
1054.0,Byron Murphy Jr.,Arizona Cardinals,DB,2022.0,2,COMMON,2022-09-18 00:00:00.000,4500.0,https://nflallday.com/listing/moment/1054,Standard,9.294765840220386,63.0,6.0,363
1055.0,Cade York,Cleveland Browns,K,2022.0,1,COMMON,2022-09-11 00:00:00.000,4500.0,https://nflallday.com/listing/moment/1055,Premium,19.285714285714285,50.0,11.0,203
1055.0,Cade York,Cleveland Browns,K,2022.0,1,COMMON,2022-09-11 00:00:00.000,4500.0,https://nflallday.com/listing/moment/1055,Standard,19.650172612197927,500.0,6.0,869
1056.0,Cooper Rush,Dallas Cowboys,QB,2022.0,2,COMMON,2022-09-18 00:00:00.000,4500.0,https://nflallday.com/listing/moment/1056,Premium,16.732558139534884,35.0,10.0,172
1056.0,Cooper Rush,Dallas Cowboys,QB,2022.0,2,COMMON,2022-09-18 00:00:00.000,4500.0,https://nflallday.com/listing/moment/1056,Standard,16.96039603960396,39.0,9.0,707
1057.0,Jaire Alexander,Green Bay Packers,DB,2022.0,2,COMMON,2022-09-18 00:00:00.000,4500.0,https://nflallday.com/listing/moment/1057,Premium,12.606896551724137,30.0,7.0,145
1057.0,Jaire Alexander,Green Bay Packers,DB,2022.0,2,COMMON,2022-09-18 00:00:00.000,4500.0,https://nflallday.com/listing/moment/1057,Standard,12.493392070484582,55.0,6.0,454
1058.0,Marcus Williams,Baltimore Ravens,DB,2022.0,2,RARE,2022-09-18 00:00:00.000,1199.0,https://nflallday.com/listing/moment/1058,Premium,39.67955801104972,69.0,28.0,181
1058.0,Marcus Williams,Baltimore Ravens,DB,2022.0,2,RARE,2022-09-18 00:00:00.000,1199.0,https://nflallday.com/listing/moment/1058,Standard,42.14705882352941,149.0,28.0,102
1059.0,Nick Chubb,Cleveland Browns,RB,2022.0,2,RARE,2022-09-18 00:00:00.000,1199.0,https://nflallday.com/listing/moment/1059,Premium,67.58181818181818,199.0,6.0,110
1059.0,Nick Chubb,Cleveland Browns,RB,2022.0,2,RARE,2022-09-18 00:00:00.000,1199.0,https://nflallday.com/listing/moment/1059,Standard,70.5632183908046,155.0,50.0,87
1060.0,Amon-Ra St. Brown,Detroit Lions,WR,2022.0,2,RARE,2022-09-18 00:00:00.000,1199.0,https://nflallday.com/listing/moment/1060,Premium,69.22598870056497,95.0,45.0,177
1060.0,Amon-Ra St. Brown,Detroit Lions,WR,2022.0,2,RARE,2022-09-18 00:00:00.000,1199.0,https://nflallday.com/listing/moment/1060,Standard,69.75384615384615,94.0,45.0,130
1061.0,James Robinson,Jacksonville Jaguars,RB,2022.0,2,RARE,2022-09-18 00:00:00.000,1199.0,https://nflallday.com/listing/moment/1061,Premium,44.5,111.0,28.0,102
1061.0,James Robinson,Jacksonville Jaguars,RB,2022.0,2,RARE,2022-09-18 00:00:00.000,1199.0,https://nflallday.com/listing/moment/1061,Standard,51.75,527.0,27.0,64
1062.0,Saquon Barkley,New York Giants,RB,2022.0,1,RARE,2022-09-11 00:00:00.000,1199.0,https://nflallday.com/listing/moment/1062,Premium,98.25170068027211,195.0,70.0,147
1062.0,Saquon Barkley,New York Giants,RB,2022.0,1,RARE,2022-09-11 00:00:00.000,1199.0,https://nflallday.com/listing/moment/1062,Standard,95.22448979591837,120.0,65.0,98
1063.0,Diontae Johnson,Pittsburgh Steelers,WR,2022.0,1,RARE,2022-09-11 00:00:00.000,1199.0,https://nflallday.com/listing/moment/1063,Premium,47.28865979381443,160.0,31.0,97
