Play_Type,Moment_Tier,mean,count,Position
2-Pt Attempt,COMMON,10.741144414168938,367,N/A
2-Pt Attempt,RARE,62.19444444444444,36,N/A
Block,RARE,54.714285714285715,14,N/A
Blocked Kick,COMMON,17.15,260,N/A
Field Goal,COMMON,10.406741573033708,445,N/A
Field Goal,RARE,158.41176470588235,17,N/A
Forced Fumble,COMMON,9.44848484848485,660,N/A
Forced Fumble,RARE,38.61538461538461,13,N/A
Fumble Recovery,COMMON,14.402985074626866,536,N/A
Fumble Recovery,RARE,48.21739130434783,23,N/A
Interception,COMMON,10.480454344298568,6779,N/A
Interception,LEGENDARY,861.0,6,N/A
Interception,RARE,50.45054945054945,1092,N/A
Kick Return,COMMON,9.38,100,N/A
Kick Return,RARE,69.97826086956522,184,N/A
Pass,COMMON,27.80888482260852,9837,N/A
Pass,LEGENDARY,3183.3333333333335,3,N/A
Pass,RARE,141.0674740484429,578,N/A
Pass Defense,COMMON,11.671497584541063,414,N/A
Pass Defense,LEGENDARY,750.0,1,N/A
Pass Defense,RARE,55.05555555555556,18,N/A
Player Melt,COMMON,11.598889659958362,2882,N/A
Player Melt,LEGENDARY,1401.3030303030303,33,N/A
Player Melt,RARE,51.57958872810358,1313,N/A
Pressure,LEGENDARY,1099.0,1,N/A
Punt,COMMON,7.2421875,128,N/A
Punt,LEGENDARY,799.0,1,N/A
Punt Return,COMMON,9.950704225352112,142,N/A
Punt Return,RARE,57.18181818181818,11,N/A
Reception,COMMON,20.599435454754325,30467,N/A
Reception,LEGENDARY,1083.090909090909,11,N/A
Reception,RARE,103.16490963855422,2656,N/A
Rush,COMMON,17.573087479766347,14209,N/A
Rush,LEGENDARY,939.8333333333334,6,N/A
Rush,RARE,73.562874251497,334,N/A
Sack,COMMON,8.435593220338983,2360,N/A
Sack,RARE,69.48488008342024,959,N/A
Safety,COMMON,14.670731707317072,164,N/A
Safety,RARE,91.66666666666667,3,N/A
Strip Sack,COMMON,9.042417815482503,943,N/A
Strip Sack,LEGENDARY,591.3333333333334,3,N/A
Strip Sack,RARE,60.1945945945946,370,N/A
Tackle,COMMON,8.422077922077921,462,N/A
Tackle,RARE,88.2,5,N/A
Team Melt,COMMON,15.66167290886392,801,N/A
Team Melt,LEGENDARY,647.0,4,N/A
Team Melt,RARE,92.58823529411765,170,N/A
