Player,Moment_Tier,Position,mean,count
A'Shawn Robinson,COMMON,DL,7.638655462184874,119
A.J. Brown,COMMON,WR,23.154411764705884,136
A.J. Brown,RARE,WR,224.7,10
A.J. Green,COMMON,WR,7.8,70
A.J. Green,RARE,WR,59.0,9
A.J. Moore Jr.,COMMON,DB,7.88135593220339,59
A.J. Terrell,COMMON,DB,7.826086956521739,46
AJ Dillon,COMMON,RB,20.02542372881356,118
Aaron Donald,COMMON,DL,42.63636363636363,66
Aaron Donald,LEGENDARY,DL,1250.0,1
Aaron Jones,COMMON,RB,17.613636363636363,440
Aaron Rodgers,COMMON,QB,42.91651865008881,563
Aaron Rodgers,LEGENDARY,QB,16500.0,1
Aaron Rodgers,RARE,QB,191.27659574468086,47
Adam Butler,COMMON,DL,8.96774193548387,93
Adam Thielen,COMMON,WR,9.735955056179776,356
Adrian Peterson,COMMON,RB,8.333333333333334,102
Aeneas Williams,RARE,DB,44.88,25
Ahman Green,RARE,RB,54.2,5
Aidan Hutchinson,LEGENDARY,DL,858.2,5
Akiem Hicks,COMMON,DL,7.342342342342342,111
Albert Okwuegbunam,COMMON,TE,9.850931677018634,161
Alex Okafor,COMMON,DL,7.185185185185185,81
Alex Singleton,COMMON,LB,10.0,112
Ali Marpet,RARE,OL,64.84251968503936,127
Allen Lazard,COMMON,WR,10.730263157894736,152
Allen Lazard,RARE,WR,69.3076923076923,13
Allen Robinson II,COMMON,WR,9.836666666666666,300
Alvin Kamara,COMMON,RB,24.125,136
Alvin Kamara,RARE,RB,105.55555555555556,9
Amani Oruwariye,RARE,DB,50.86813186813187,91
Amari Cooper,COMMON,WR,36.39835164835165,364
Amari Cooper,LEGENDARY,WR,730.3333333333334,3
Ambry Thomas,COMMON,DB,15.763440860215054,93
Amon-Ra St. Brown,COMMON,WR,25.545454545454547,187
Amon-Ra St. Brown,RARE,WR,96.38461538461539,117
Andre Roberts,RARE,WR,41.75,4
Andrew Whitworth,COMMON,OL,8.106382978723405,47
Andy Dalton,COMMON,QB,8.832512315270936,203
Anquan Boldin,RARE,WR,51.84615384615385,26
Anthony Barr,RARE,LB,59.6,25
Antoine Wesley,COMMON,WR,7.388059701492537,67
Antonio Freeman,COMMON,WR,7.54054054054054,111
Antonio Freeman,LEGENDARY,WR,750.0,1
Antonio Gibson,COMMON,RB,10.567164179104477,134
Arizona Cardinals,COMMON,Team,10.73394495412844,109
Arizona Cardinals,LEGENDARY,Team,1200.0,1
Asante Samuel,RARE,DB,42.9296875,128
Ashton Dulin,COMMON,WR,7.677777777777778,90
Atlanta Falcons,COMMON,Team,10.31858407079646,113
