Play_Type,mean,count,Position
2-Pt Attempt,22.997112608277188,1039,N/A
Block,64.8224852071006,169,N/A
Blocked Kick,16.80040941658137,977,N/A
Field Goal,23.099939430648092,1651,N/A
Forced Fumble,15.911075181891674,1237,N/A
Fumble Recovery,43.07070707070707,3564,N/A
Interception,21.547157190635453,13455,N/A
Kick Return,42.64352720450282,533,N/A
Pass,41.87355525965379,18775,N/A
Pass Defense,25.865506329113924,632,N/A
Player Melt,56.47983777520278,8630,N/A
Pressure,1299.0,2,N/A
Punt,34.83935742971887,249,N/A
Punt Return,15.364,250,N/A
Reception,25.69934971319898,65202,N/A
Rush,23.138762730525738,29064,N/A
Sack,20.630489864864863,7104,N/A
Safety,14.140625,512,N/A
Strip Sack,22.2171556122449,3136,N/A
Tackle,11.482064741907262,1143,N/A
Team Melt,71.31146605818597,3506,N/A
