Play_Type,mean,count,Position
2-Pt Attempt,55.646596858638745,382,N/A
Block,60.325581395348834,43,N/A
Blocked Kick,55.41182682154171,947,N/A
Field Goal,48.787234042553195,423,N/A
Forced Fumble,13.24025974025974,462,N/A
Fumble Recovery,45.41741741741742,1332,N/A
Interception,47.30518577389231,5033,N/A
Kick Return,18.761194029850746,201,N/A
Pass,40.73009758602979,11682,N/A
Pass Defense,62.97402597402598,231,N/A
Player Melt,124.36350037397158,1337,N/A
Punt,32.74842767295598,159,N/A
Punt Return,15.15137614678899,218,N/A
Reception,23.70380488577424,25257,N/A
Rush,27.13168281306064,11148,N/A
Sack,19.59860788863109,4310,N/A
Safety,15.794520547945206,73,N/A
Strip Sack,23.355089617855935,2957,N/A
Tackle,16.229857819905213,844,N/A
Team Melt,55.50025278058645,3956,N/A
