Player,Position,mean,count
Trey Lance,QB,6975.0,1
New Orleans Saints,Team,1999.6666666666667,3
Nick Bolton,LB,1433.3333333333333,3
Pressley Harvin III,P,1351.3333333333333,3
Travis Homer,RB,1299.0,1
Jordan Willis,DL,933.3333333333334,3
Breshad Perriman,WR,925.0,2
Aidan Hutchinson,DL,848.0,1
Zach Allen,DL,837.0,2
Rashod Bateman,WR,584.8,20
Micah Parsons,LB,516.75,56
Trevon Diggs,DB,476.3235294117647,68
Tom Brady,QB,440.59840425531917,376
Jaelan Phillips,LB,377.70588235294116,17
Dalvin Cook,RB,294.9349593495935,246
Sam Mills,LB,286.04918032786884,61
Dallas Goedert,TE,271.8303249097473,277
Leonard Fournette,RB,245.5801526717557,131
Ezekiel Elliott,RB,229.50837988826817,179
Seattle Seahawks,Team,220.54,50
Matt Ryan,QB,218.36764705882354,68
Green Bay Packers,Team,215.46938775510205,49
Mike Williams,WR,208.56392294220666,571
Justin Tucker,K,197.05594405594405,143
Cameron Heyward,DL,195.43447037701975,557
Micah Hyde,DB,179.6851851851852,54
Richard Seymour,DL,172.1590909090909,88
Minkah Fitzpatrick,DB,171.6551724137931,29
Baltimore Ravens,Team,168.57142857142858,28
Khalil Mack,LB,167.128,125
Jacksonville Jaguars,Team,164.57971014492753,69
Tony Pollard,RB,159.55729166666666,192
Mike Evans,WR,158.25531914893617,423
Kirk Cousins,QB,156.02272727272728,264
Chris Godwin,WR,151.53439153439155,378
Cliff Branch,WR,149.52941176470588,34
New England Patriots,Team,138.15243902439025,328
Jared Goff,QB,137.4641148325359,209
Rashaad Penny,RB,135.62702702702703,370
Tennessee Titans,Team,130.21653543307087,254
