Player,Moment_Tier,Position,mean,count
A'Shawn Robinson,COMMON,DL,8.83033033033033,1332
A.J. Brown,COMMON,WR,34.82935393258427,1424
A.J. Brown,RARE,WR,298.88461538461536,52
A.J. Green,COMMON,WR,9.17162471395881,437
A.J. Green,RARE,WR,59.09756097560975,41
A.J. Moore Jr.,COMMON,DB,7.821548821548822,297
A.J. Terrell,COMMON,DB,10.307053941908714,241
AJ Dillon,COMMON,RB,50.63425750094949,2633
Aaron Donald,COMMON,DL,55.25337837837838,296
Aaron Donald,LEGENDARY,DL,1424.5,2
Aaron Jones,COMMON,RB,27.266052129688493,3146
Aaron Rodgers,COMMON,QB,58.197401299350325,2001
Aaron Rodgers,LEGENDARY,QB,13250.0,2
Aaron Rodgers,RARE,QB,272.09090909090907,132
Adam Butler,COMMON,DL,6.841105354058722,579
Adam Thielen,COMMON,WR,14.897720271102896,1623
Adrian Peterson,COMMON,RB,9.413145539906104,426
Aeneas Williams,RARE,DB,44.95454545454545,44
Ahman Green,RARE,RB,75.45333333333333,75
Aidan Hutchinson,LEGENDARY,DL,858.2,5
Akiem Hicks,COMMON,DL,11.254196642685852,2085
Albert Okwuegbunam,COMMON,TE,14.468917881811205,1303
Alex Okafor,COMMON,DL,7.118811881188119,707
Alex Singleton,COMMON,LB,8.997578692493947,413
Ali Marpet,RARE,OL,64.71794871794872,156
Allen Lazard,COMMON,WR,18.30365093499555,1123
Allen Lazard,RARE,WR,95.2258064516129,62
Allen Robinson II,COMMON,WR,9.836666666666666,300
Alvin Kamara,COMMON,RB,33.967781908302356,807
Alvin Kamara,RARE,RB,138.76470588235293,34
Amani Oruwariye,RARE,DB,50.68807339449541,109
Amari Cooper,COMMON,WR,33.50546176762661,1007
Amari Cooper,LEGENDARY,WR,894.8888888888889,9
Ambry Thomas,COMMON,DB,17.391304347826086,276
Amon-Ra St. Brown,COMMON,WR,37.269082125603866,2070
Amon-Ra St. Brown,LEGENDARY,WR,1600.0,1
