Play_Type,Moment_Tier,mean,count,Position
2-Pt Attempt,COMMON,12.64467668190725,1531,N/A
2-Pt Attempt,RARE,67.58679706601467,409,N/A
Block,RARE,66.67487684729063,203,N/A
Blocked Kick,COMMON,45.49749058971142,3188,N/A
Blocked Kick,LEGENDARY,902.0,4,N/A
Field Goal,COMMON,14.162109375,2560,N/A
Field Goal,RARE,185.86231884057972,138,N/A
Forced Fumble,COMMON,12.868051656372824,1781,N/A
Forced Fumble,RARE,48.59310344827586,145,N/A
Fumble Recovery,COMMON,34.98201359947357,4559,N/A
Fumble Recovery,LEGENDARY,1429.8,5,N/A
Fumble Recovery,RARE,57.92261904761905,168,N/A
Interception,COMMON,10.374148074794665,17167,N/A
Interception,LEGENDARY,899.2461538461539,65,N/A
Interception,RARE,69.20851769911505,5424,N/A
Kick Return,COMMON,10.817460317460318,378,N/A
Kick Return,RARE,63.611973392461195,451,N/A
Pass,COMMON,31.641600096101868,33298,N/A
Pass,LEGENDARY,3217.3529411764707,17,N/A
Pass,RARE,172.15161696766066,2381,N/A
Pass Defense,COMMON,13.25294117647059,850,N/A
Pass Defense,LEGENDARY,853.5555555555555,9,N/A
Pass Defense,RARE,74.8,105,N/A
Player Melt,COMMON,12.406738131699846,6530,N/A
Player Melt,LEGENDARY,1350.3087557603687,217,N/A
Player Melt,RARE,72.77944814462417,5255,N/A
Pressure,LEGENDARY,1366.0,3,N/A
Punt,COMMON,7.410852713178294,516,N/A
Punt,LEGENDARY,1290.764705882353,17,N/A
Punt Return,COMMON,8.871313672922252,373,N/A
Punt Return,RARE,59.43333333333333,60,N/A
Reception,COMMON,19.638642362770977,96226,N/A
Reception,LEGENDARY,1283.2051282051282,39,N/A
Reception,RARE,97.48770629841698,5938,N/A
Rush,COMMON,19.785742158919078,41002,N/A
Rush,LEGENDARY,1182.9375,32,N/A
Rush,RARE,114.08476394849785,1864,N/A
Sack,COMMON,10.845124282982791,12552,N/A
Sack,LEGENDARY,2132.3333333333335,3,N/A
Sack,RARE,73.79553679131483,1658,N/A
Safety,COMMON,11.359897172236504,778,N/A
Safety,RARE,94.84210526315789,19,N/A
Strip Sack,COMMON,13.915358100344696,7833,N/A
Strip Sack,LEGENDARY,850.5652173913044,23,N/A
Strip Sack,RARE,62.42280285035629,842,N/A
Tackle,COMMON,14.08352668213457,3017,N/A
Tackle,RARE,115.8,30,N/A
Team Melt,COMMON,20.726272648835202,4636,N/A
Team Melt,LEGENDARY,1208.6190476190477,63,N/A
Team Melt,RARE,134.99728137743543,2207,N/A
