Player,Position,mean,count
Trey Lance,QB,2900.0,1
George Pickens,WR,1099.5,8
Aidan Hutchinson,DL,886.3333333333334,3
New York Jets,Team,799.0,1
Pressley Harvin III,P,799.0,1
Dameon Pierce,RB,795.0,1
Travon Walker,LB,790.0,1
Jacksonville Jaguars,Team,404.6,5
Sam Mills,LB,316.5,6
Tom Brady,QB,223.25301204819277,83
Dallas Goedert,TE,171.6,15
Darius Slay Jr.,DB,171.0,19
Justin Tucker,K,158.41176470588235,17
Seattle Seahawks,Team,157.66666666666666,6
Dalvin Cook,RB,148.1818181818182,11
Ezekiel Elliott,RB,142.75,8
Green Bay Packers,Team,121.66666666666667,3
Jared Goff,QB,118.50819672131148,61
CeeDee Lamb,WR,115.020964360587,954
Patrick Mahomes II,QB,108.16024844720496,805
Jaelan Phillips,LB,99.66666666666667,3
Kirk Cousins,QB,97.8157894736842,38
Khalil Mack,LB,97.6923076923077,13
Cameron Jordan,DL,93.1311475409836,61
DeSean Jackson,WR,91.5,4
Chris Godwin,WR,88.4375,32
Mike Williams,WR,86.963133640553,868
New England Patriots,Team,86.41666666666667,24
Darius Leonard,LB,84.33333333333333,9
Davante Adams,WR,83.79666958808063,1141
Demarcus Lawrence,DL,81.66666666666667,12
Trevor Lawrence,QB,80.99122807017544,114
Aaron Donald,DL,80.76237623762377,202
Chicago Bears,Team,75.84,25
Devin Duvernay,WR,74.63522012578616,159
Joe Haden,DB,74.0,3
Rashod Bateman,WR,73.70526315789473,95
Josh Allen,LB,72.35714285714286,14
Quinn Meinerz,OL,72.0,3
Brandin Cooks,WR,71.68181818181819,22
